Company,Role,Location,Application/Link,Work Model,Date Posted
Dept of health/mental hygiene,"Community Mental Health Monitor, Mental Health-Assisted Outpatient Treatment Program","New York, NY",,,"Oct 21, 2024"
Dept of health/mental hygiene,"College Aide, Bureau of Food Safety and Community Sanitation","New York, NY",,,"Oct 22, 2024"
Office of criminal justice,"Supervising Attorney for Forensics, Assigned Counsel Plan","New York, NY",,,"Jul 21, 2024"
Dept of health/mental hygiene,"Laboratory Microbiologist II, Bureau of the Public Health Laboratory","New York, NY",https://a127-jobs.nyc.gov,,"Apr 20, 2024"
Dept of environment protection,Project Engineer,"New York, NY",,On Site,"May 22, 2023"
Office of management & budget,"Assistant Analyst  Personnel Planning & Expense Budget, Cashflow Reporting and Budget Publications","New York, NY",https://www.nyc.gov,On Site,"Oct 21, 2024"
Department of transportation,Agency Attorney IV,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Jul 17, 2024"
Hra/dept of social services,SUSPENSE ACCOUNT COORDINATOR,"New York, NY",,,"Feb 28, 2024"
Dept of environment protection,College Aide,"New York, NY",,On Site,"Jun 15, 2023"
Nyc police pension fund,Disability System Representative,"New York, NY",https://www.nyc.gov,On Site,"Nov 1, 2024"
Dept of health/mental hygiene,"Junior Public Health Nurse, Bureau of Public Health Clinics","New York, NY",https://a127-jobs.nyc.gov,,"Apr 2, 2024"
Admin for children's svcs,ELU Agency Attorney,"New York, NY",,,"Nov 8, 2024"
Dept of environment protection,"Chief of Strategy, Policy and Innovation","New York, NY",,On Site,"Nov 19, 2024"
Dept of health/mental hygiene,"Child Care Registrar, Bureau of Childcare","New York, NY",https://a127-jobs.nyc.gov,,"Apr 30, 2024"
Department of buildings,"Executive Director, Professional Development","New York, NY",,,"Nov 20, 2024"
Bronx district attorney,Senior Rackets Investigator,"New York, NY",,,"Jul 20, 2022"
Dept of environment protection,Executive Assistant,"New York, NY",,On Site,"Mar 18, 2024"
Dept of design & construction,Deputy Director,"New York, NY",https://http://www.nyc.gov,On Site,"Aug 8, 2023"
Dept of health/mental hygiene,"Assistant Director of Programmatic Fiscal Affairs, Bureau of Controller","New York, NY",https://a127-jobs.nyc.gov,,"May 16, 2024"
Hra/dept of social services,LRLU PARALEGAL II,"New York, NY",,,"Jul 31, 2024"
Dept of design & construction,Senior Engineer (Specification),"New York, NY",,,"Nov 12, 2024"
Hra/dept of social services,MAILROOM SORTING CLERK,"New York, NY",,On Site,"Apr 3, 2024"
Dept. of homeless services,JCC MANAGER,"New York, NY",,,"Jan 5, 2024"
Hra/dept of social services,CASE MANAGEMENT TEAM LEADER,"New York, NY",,,"Jun 24, 2024"
Dept of environment protection,Environmental Engineering Intern,"New York, NY",,On Site,"Mar 18, 2024"
Dept of environment protection,Clerical Associate IV,"New York, NY",,On Site,"Aug 14, 2024"
Housing preservation & dvlpmnt,Client Services Specialist for the Division of Tenant & Owner Resources,"New York, NY",,,"Oct 2, 2024"
Dept of environment protection,Assistant Environmental Engineer - Project Manager,"New York, NY",,,"Oct 28, 2024"
Dept of health/mental hygiene,"Public Health Advisor II, Bureau of Hepatitis, HIV, and STI","New York, NY",https://a127-jobs.nyc.gov,,"Jun 13, 2024"
Admin for children's svcs,Chief Advisor,"New York, NY",https://www.nyc.gov,,"Oct 22, 2024"
Dept of environment protection,Asset Management Program Planner,"New York, NY",,On Site,"Mar 28, 2023"
Dept of health/mental hygiene,"Public Health Sanitarian, Bureau of Food Safety and Community Sanitation","New York, NY",https://a127-jobs.nyc.gov,,"Apr 30, 2024"
Dept of health/mental hygiene,Public Health Advisor Follow-UP  Bureau of School Health/SH Vision,"New York, NY",,,"Oct 28, 2024"
Taxi & limousine commission,TLC Officer - Safety and Emissions,"New York, NY",,On Site,"Aug 20, 2024"
Department of transportation,BOB- Manager of Design,"New York, NY",https://www.nyc.gov,On Site,"Nov 21, 2024"
Hra/dept of social services,EXECUTIVE ASSISTANT,"New York, NY",,On Site,"Nov 4, 2022"
Dept of environment protection,ASSISTANT DESIGN ENGINEER,"New York, NY",,,"Aug 13, 2023"
Dept of design & construction,Director,"New York, NY",,,"Nov 6, 2023"
Dept of health/mental hygiene,"Manager, Strategic Partnerships,  Bureau of Equitable Health Systems","New York, NY",,,"Oct 11, 2024"
Bronx district attorney,Trial Preparation Assistant Lv 2,"New York, NY",,,"Apr 2, 2024"
Nyc housing authority,Staff Analyst - L1,"New York, NY",,,"Nov 25, 2024"
Admin for children's svcs,Attorney Interne,"New York, NY",,,"May 9, 2024"
Dept of environment protection,ACCOUNTABLE MANAGER,"New York, NY",,,"Apr 29, 2024"
Dept of design & construction,Assistant to the Chief of CADD,"New York, NY",,,"Feb 1, 2024"
Dept of health/mental hygiene,"Public Health Technician, Bureau of Food Safety and Community Sanitation","New York, NY",https://a127-jobs.nyc.gov,,"Jul 15, 2024"
Department of transportation,Franchises & Concessions - College Aide,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Mar 14, 2024"
Dept of health/mental hygiene,"Action Center Navigator, Brooklyn Neighborhood Health","New York, NY",,,"Sep 16, 2024"
Dept of design & construction,Senior Project Administrator,"New York, NY",,,"Nov 17, 2023"
Nyc housing authority,"ASSISTANT DIRECTOR, JOB GENERATION","New York, NY",,,"Aug 5, 2024"
District attorney richmond cou,Community Liaison,"New York, NY",https://a127-jobs.nyc.gov,,"Nov 25, 2024"
Bronx district attorney,Homicide Bureau: Deputy Bureau Chief,"New York, NY",https://cityjobs.nyc.gov,,"Mar 8, 2024"
Dept of health/mental hygiene,Child Care Investigator,"New York, NY",,,"Nov 12, 2024"
Dept of health/mental hygiene,"Energy Engineer, Bureau of Facilities Planning and Administrative Services","New York, NY",,,"Aug 23, 2024"
Dept of health/mental hygiene,"Physician, Bureau of Public Health Clinics","New York, NY",https://a127-jobs.nyc.gov,,"May 5, 2022"
Department of transportation,BOB-  Supervisor Highway Repairer,"New York, NY",https://www.nyc.gov,On Site,"Jul 11, 2024"
Dept of environment protection,ASSISTANT PROJECT MANAGER,"New York, NY",,,"Apr 30, 2024"
Dept of health/mental hygiene,"Policy Manager, CHECW Chief Medical Officer","New York, NY",,,"Oct 21, 2024"
Department of transportation,Assistant Team Leader,"New York, NY",https://www.nyc.gov,On Site,"Feb 6, 2023"
Dept of health/mental hygiene,"Public Health Adviser, Bureau of School Health","New York, NY",https://a127-jobs.nyc.gov,,"May 13, 2024"
Department of transportation,BOB- Assistant Civil Engineer,"New York, NY",https://www.nyc.gov,On Site,"May 25, 2024"
Law department,Audit Clerk P/T - Clerical Associate L3 - Administration,"New York, NY",,,"Oct 9, 2024"
Hra/dept of social services,"DIRECTOR, FINANCIAL MANAGEMENT SERVICES","New York, NY",,,"Apr 16, 2024"
Bronx district attorney,Director of Outreach and Engagement,"New York, NY",,,"Jan 3, 2024"
Bronx district attorney,Data Content Supervisor,"New York, NY",,,"Oct 1, 2024"
Dept of environment protection,Green Infrastructure Program Coordinator,"New York, NY",,,"Mar 28, 2023"
Dept of design & construction,Junior Engineer (Design),"New York, NY",,,"Oct 9, 2024"
Department of buildings,Sustainability Enforcement Attorney,"New York, NY",,,"Nov 7, 2024"
Department of transportation,ASSISTANT CIVIL ENGINEER,"New York, NY",https://www.nyc.gov,On Site,"Dec 26, 2022"
Dept of design & construction,Project Manager,"New York, NY",,,"Oct 7, 2024"
Dept of environment protection,SUSTAINABILITY LEAD,"New York, NY",,,"Apr 29, 2024"
Nyc housing authority,Senior Integration Manager,"New York, NY",,,"Dec 5, 2023"
Housing preservation & dvlpmnt,"Data Coordinator, Research & Evaluation","New York, NY",,,"Nov 25, 2024"
Hra/dept of social services,CASE MANAGEMENT SUPERVISOR,"New York, NY",,,"Nov 1, 2024"
Department of transportation,Principal Administrative Associate,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Jul 21, 2023"
Dept of design & construction,Assistant Commissioner,"New York, NY",,,"Jul 8, 2024"
Housing preservation & dvlpmnt,Case Manager for the Division of Tenant and Owner Resources,"New York, NY",,,"Oct 2, 2024"
Taxi & limousine commission,Data Engineer,"New York, NY",,On Site,"Sep 9, 2024"
Dept of environment protection,Capital Projects/On-Call Design Manager,"New York, NY",,On Site,"Jun 27, 2022"
Nyc housing authority,CARETAKER X (HA),"New York, NY",,,"Nov 12, 2024"
Nyc housing authority,Environmental Planner,"New York, NY",,,"Oct 3, 2024"
Dept of environment protection,Supervisor Of Electrician,"New York, NY",,On Site,"Aug 14, 2024"
Dept of environment protection,Molecular Biologist,"New York, NY",,On Site,"Apr 10, 2023"
Dept of environment protection,DESIGN ENGINEER INTERN,"New York, NY",,,"Nov 6, 2024"
Dept of environment protection,Highway Drainage Engineer,"New York, NY",,On Site,"Apr 30, 2024"
Department of transportation,Freight Analyst,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Oct 5, 2023"
Dept of environment protection,Environmental Engineer II,"New York, NY",,On Site,"Jul 25, 2022"
Dept of design & construction,Junior Project Manager,"New York, NY",,,"Jan 29, 2024"
Department of correction,Licensed Barber,"New York, NY",https://www.nyc.gov,,"Aug 29, 2022"
Public administrator-new york,ACCOUNTANT,"New York, NY",https://http://cityshare.nycnet,,"Feb 9, 2023"
Department of transportation,Personnel and Procurement Officer,"New York, NY",https://www.nyc.gov,On Site,"Apr 3, 2024"
Bronx community board #1,COMMUNITY ASSOCIATE,"New York, NY",https://www.nyc.gov,,"Nov 7, 2024"
Dept of citywide admin svcs,Electrician,"New York, NY",https://www.nyc.gov,,"Aug 29, 2024"
Department of transportation,Deputy Chief of staff,"New York, NY",https://www.nyc.gov,On Site,"Sep 16, 2023"
Hra/dept of social services,EXECUTIVE DIRECTOR OF NETWORK INFRASTRUCTURE & INTEGRITY,"New York, NY",,,"Mar 1, 2024"
Nyc housing authority,SUPERVISOR CARPENTER,"New York, NY",,,"Apr 13, 2022"
Dept of environment protection,CIVIL ENGINEERING INTERN,"New York, NY",,,"Sep 14, 2022"
Dept of environment protection,EHS Program Specialist,"New York, NY",,,"Jul 30, 2024"
Technology & innovation,Senior Data Engineer,"New York, NY",https://http://www.nyc.gov,,"Oct 23, 2024"
Hra/dept of social services,NETWORK ENGINEER,"New York, NY",,On Site,"May 10, 2024"
Public administrator-new york,DECEDENT PROPERTY AGENT,"New York, NY",https://a127-ess.nyc.gov,,"Mar 25, 2022"
Hra/dept of social services,SENIOR SYSTEMS ANALYST,"New York, NY",,On Site,"Jan 5, 2024"
Dept of environment protection,Civil Engineering Intern,"New York, NY",,On Site,"Aug 14, 2024"
Dept of health/mental hygiene,"Public Health Adviser, Bureau of School Health","New York, NY",https://a127-jobs.nyc.gov,,"May 10, 2024"
Office of management & budget,Analyst  Capital Financial Planning,"New York, NY",https://www.nyc.gov,On Site,"Nov 20, 2024"
Department of transportation,Design Review Manager,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Aug 19, 2024"
Dept of health/mental hygiene,"College Aide, Bureau of Food Safety and Community Sanitation","New York, NY",,,"Oct 9, 2024"
Mayors office of contract svcs,"Director, Centralized Construction Mentor Program (OM/WBE)","New York, NY",,,"Aug 20, 2024"
Nyc housing authority,Housing Assistant,"New York, NY",,,"Nov 15, 2024"
Housing preservation & dvlpmnt,"Administrative Support, Division of Code Enforcement - CODE","New York, NY",,On Site,"Oct 23, 2024"
Bronx district attorney,Deputy Bureau Chief: Early Case Assessment Bureau,"New York, NY",https://cityjobs.nyc.gov,,"Feb 28, 2024"
Dept of environment protection,AREA ENGINEER â ELECTRICAL ENGINEERING,"New York, NY",,On Site,"Oct 6, 2023"
Department of transportation,Grants Compliance Officer,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Nov 25, 2024"
Nyc housing authority,CARETAKER X (HA),"New York, NY",,,"Nov 19, 2024"
Dept of design & construction,Design Engineer,"New York, NY",https://http://www.nyc.gov,On Site,"Aug 7, 2023"
Nyc housing authority,PLUMBER,"New York, NY",,,"Nov 15, 2024"
Taxi & limousine commission,Chief of Staff,"New York, NY",,On Site,"Nov 12, 2024"
Department of transportation,Assistant Civil Engineer â Design and Construction,"New York, NY",https://www.nyc.gov,On Site,"Jun 7, 2024"
Hra/dept of social services,VIRTUALIZATION ADMINISTRATOR,"New York, NY",,,"Aug 21, 2024"
Dept of environment protection,ASSISTANT PROJECT MANAGER,"New York, NY",,,"Apr 2, 2024"
Hra/dept of social services,FAIR HEARING PROCESS SPECIALIST,"New York, NY",,,"Sep 18, 2024"
Dept of environment protection,Supervisor of the Wards Island Priority Pollutants Laboratory,"New York, NY",,On Site,"Sep 14, 2022"
Dept of design & construction,Senior Estimator,"New York, NY",,,"Apr 10, 2024"
Dept of design & construction,Senior Design Reviewer (Mechanical),"New York, NY",,,"Nov 7, 2024"
Dept of health/mental hygiene,"Poison Information Specialist, Bureau of Environmental Disease and Injury Prevention","New York, NY",,,"Nov 19, 2024"
Dept of health/mental hygiene,"Radiation Field Scientist, Bureau of Environmental Sciences and Engineering","New York, NY",,,"Oct 1, 2024"
Dept of environment protection,Assistant Counsel,"New York, NY",https://www1.nyc.gov,On Site,"Oct 15, 2024"
Department of transportation,Supervisor Electrician,"New York, NY",https://www.nyc.gov,On Site,"Jul 25, 2023"
Police department,"Associate Investigator (Part-Time), Level I","New York, NY",,,"Jul 29, 2024"
Law department,Director of Document Processing & Language Services,"New York, NY",,On Site,"Jan 31, 2024"
Hra/dept of social services,CASE MANAGEMENT SUPERVISOR,"New York, NY",,,"Jun 24, 2024"
Dept of health/mental hygiene,"Data Coordinator, Bureau of Maternal Infant and Reproductive Health","New York, NY",,,"Sep 20, 2024"
Dept of environment protection,Engineering Technician,"New York, NY",,,"Jun 27, 2022"
Nyc housing authority,Neighborhood Planner,"New York, NY",,,"May 12, 2022"
Dept of health/mental hygiene,"Clinical Social Worker, Bureau of Public Health Clinics","New York, NY",https://a127-jobs.nyc.gov,,"Apr 16, 2024"
Dept of health/mental hygiene,Forensic Mortuary Technician I,"New York, NY",,,"Mar 4, 2024"
Bronx district attorney,Accounts Payable Assistant,"New York, NY",,,"Nov 25, 2024"
Department of finance,Administrative Law Judge,"New York, NY",,On Site,"Sep 10, 2024"
Dept of health/mental hygiene,"Projects and Planning Manager, Administration Office","New York, NY",https://a127-jobs.nyc.gov,,"May 21, 2024"
Bronx district attorney,Deputy Bureau Chief: Community Justice Bureau,"New York, NY",,,"May 21, 2024"
Hra/dept of social services,ASSISTANT MANAGER,"New York, NY",,,"Sep 30, 2024"
Dept of design & construction,Arborist Liaison,"New York, NY",,,"Oct 9, 2024"
Dept of youth & comm dev srvs,Program Supervisor,"New York, NY",https://cityjobs.nyc.gov,On Site,"Mar 28, 2024"
Bronx district attorney,Assistant District Attorney: Discovery Compliance Bureau,"New York, NY",,,"Jul 13, 2022"
Bronx district attorney,Supervisor of Onboarding,"New York, NY",https://www.nyc.gov,,"Dec 4, 2023"
Dept of environment protection,Machinist,"New York, NY",,,"Jun 12, 2023"
Dept of health/mental hygiene,"Special Projects and Validations Coordinator, Bureau of the Public Health Laboratory","New York, NY",,,"Sep 24, 2024"
Dept of environment protection,Project Coordinator,"New York, NY",,,"Nov 27, 2023"
Department of transportation,Administrative Support/Searcher,"New York, NY",https://hrb.nycaps.nycnet,On Site,"May 16, 2024"
Manhattan community board #9,Community Associate,"New York, NY",,,"Sep 25, 2024"
Hra/dept of social services,STRATEGIC PROJECT MANAGER,"New York, NY",,,"Aug 7, 2024"
Dept of design & construction,Environmental Project Manager,"New York, NY",,,"Sep 12, 2024"
Admin for children's svcs,Sergeant,"New York, NY",,,"Nov 21, 2024"
Dept of health/mental hygiene,"Staff Engineer, Bureau of Environmental Sciences and Engineering","New York, NY",,,"Oct 29, 2024"
Department of transportation,Chief of Bikes and Micromobility,"New York, NY",https://www.nyc.gov,On Site,"Mar 14, 2024"
Dept of environment protection,DESIGN-BUILD PROJECT MANAGER,"New York, NY",,,"Aug 13, 2023"
Office of management & budget,Analyst  DOE Revenue,"New York, NY",https://www.nyc.gov,On Site,"Oct 19, 2024"
Department of buildings,Code & Zoning Specialist,"New York, NY",,,"Oct 30, 2024"
Consumer and worker protection,Business Analyst - 640267,"New York, NY",https://studentaid.ed.gov,,"Sep 28, 2024"
Hra/dept of social services,CASE MANAGEMENT SUPERVISOR,"New York, NY",,,"Oct 4, 2024"
Nyc housing authority,Chief Administrative Officer,"New York, NY",,,"Nov 15, 2024"
Dept of health/mental hygiene,"Program Manager, Relay, Bureau of Alcohol and Drug Use, Prevention, Care, and Treatment","New York, NY",https://a127-jobs.nyc.gov,,"May 23, 2024"
Dept of design & construction,Senior Program Coordinator,"New York, NY",https://http://www.nyc.gov,On Site,"Jul 1, 2023"
Nyc housing authority,Engineering Auditor,"New York, NY",,,"Feb 20, 2024"
Dept of health/mental hygiene,"Administrative Support, Assisted Outpatient Treatment","New York, NY",,,"Aug 20, 2024"
Department for the aging,Associate Investigator - (Per-Diem),"New York, NY",https://http://cityshare.nycnet,,"Nov 21, 2024"
Dept of environment protection,Senior Environmental Program Coordinator,"New York, NY",,On Site,"Jul 25, 2022"
Department of transportation,Assistant General Counsel,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Aug 19, 2024"
Dept of environment protection,Chief Policy Analyst,"New York, NY",,On Site,"Sep 24, 2024"
Dept of design & construction,Senior Project Manager,"New York, NY",,,"Jul 29, 2024"
Office of the comptroller,Deputy Chief Information Officer - IT Operations,"New York, NY",,,"Nov 14, 2024"
Dept of environment protection,Assistant Civil Engineer,"New York, NY",,,"Aug 24, 2023"
Dept of environment protection,Procurement Anlayst III,"New York, NY",,On Site,"Aug 9, 2022"
Dept of design & construction,Junior Engineering (Construction),"New York, NY",,,"Dec 28, 2023"
Department of buildings,Sustainability Project Advocate,"New York, NY",,,"Nov 14, 2024"
Hra/dept of social services,CASE MANAGEMENT TEAM LEADER,"New York, NY",,On Site,"Aug 2, 2023"
Hra/dept of social services,"ASSISTANT MANAGER, SNAP CLAIMS","New York, NY",,,"Aug 30, 2024"
Hra/dept of social services,REGIONAL MANAGER,"New York, NY",,,"Apr 18, 2024"
Dept of environment protection,Mate,"New York, NY",,On Site,"Mar 28, 2023"
Dept of youth & comm dev srvs,Program Manager,"New York, NY",https://cityjobs.nyc.gov,On Site,"Feb 16, 2024"
Dept of health/mental hygiene,"Project Manager, Bureau of IT Infrastructure and Support Services","New York, NY",,,"Nov 19, 2024"
Nyc housing authority,Community Planner,"New York, NY",,,"Oct 4, 2024"
Dept of design & construction,Senior Project Manager,"New York, NY",https://http://www.nyc.gov,On Site,"Sep 20, 2023"
Nyc employees retirement sys,Call Center Agent,"New York, NY",,,"Nov 15, 2024"
Hra/dept of social services,SENIOR FISCAL AUDITOR/ SPECIAL PROJECT ANALYST,"New York, NY",,On Site,"Nov 22, 2024"
Consumer and worker protection,Staff Counsel â Workersâ Rights - 687812,"New York, NY",https://studentaid.ed.gov,,"Nov 8, 2024"
Dept of environment protection,ASSOC. PROJECT MANAGER,"New York, NY",,,"Oct 6, 2023"
Dept of health/mental hygiene,"Executive Director Brooklyn Neighborhood Health, Bureau of Brooklyn Neighborhood Health","New York, NY",https://a127-jobs.nyc.gov,,"Jul 17, 2024"
Office of the comptroller,"Deputy Division Chief, Contract Registration","New York, NY",,,"Nov 14, 2024"
Hra/dept of social services,CASE MANAGEMENT SUPERVISOR,"New York, NY",,,"Aug 14, 2024"
Hra/dept of social services,SENIOR FISCAL AUDITOR/ SPECIAL PROJECT ANALYST,"New York, NY",,On Site,"Nov 22, 2024"
Dept of environment protection,PORTFOLIO MANAGER,"New York, NY",,On Site,"Jul 14, 2023"
Dept of health/mental hygiene,Senior Public Health Inspector,"New York, NY",,,"Sep 26, 2024"
Hra/dept of social services,CASE MANAGEMENT SUPERVISOR,"New York, NY",,,"May 21, 2024"
District attorney richmond cou,Criminal Court Deputy Bureau Chief,"New York, NY",https://a127-jobs.nyc.gov,,"Nov 25, 2024"
Department of transportation,Project Lead â Bike Unit,"New York, NY",https://www.nyc.gov,,"Oct 26, 2023"
Public administrator-bronx,Accountant,"New York, NY",,,"Aug 27, 2024"
Department of transportation,College Aide,"New York, NY",https://www.nyc.gov,On Site,"Apr 12, 2023"
Department of city planning,Assistant Borough Planner,"New York, NY",,,"Sep 17, 2024"
Dept of design & construction,CADD Technician,"New York, NY",,,"Jun 14, 2024"
Dept of environment protection,Distribution Area Engineer,"New York, NY",,,"Aug 24, 2023"
Dept of citywide admin svcs,Fleet Contracts Manager,"New York, NY",https://www.nyc.gov,,"Sep 4, 2024"
Fire department,Executive Assistant to the Fire Commissioner,"New York, NY",,,"Nov 25, 2024"
Human rights commission,Human Rights Specialist (Infoline),"New York, NY",,On Site,"Sep 20, 2024"
Consumer and worker protection,Inspector - 678884,"New York, NY",https://studentaid.ed.gov,,"Sep 9, 2024"
Nyc housing authority,Chief of Mandated Reporting and Publications,"New York, NY",,,"Aug 30, 2023"
Department of transportation,Data Scientist,"New York, NY",https://www.nyc.gov,On Site,"Sep 21, 2023"
Department of transportation,Transportation Engineer,"New York, NY",https://www.nyc.gov,On Site,"Oct 16, 2024"
Department of correction,Press Secretary,"New York, NY",https://www.nyc.gov,,"Feb 28, 2023"
Dept of health/mental hygiene,"Business Analyst/Project Coordinator, Bureau of Public Health Clinics","New York, NY",,,"Oct 29, 2024"
Hra/dept of social services,ELIGIBILITY VERIFICATION SPECIALIST,"New York, NY",,On Site,"Aug 10, 2023"
Department of correction,"Assistant Commissioner, Facility Operations","New York, NY",https://www.nyc.gov,,"Sep 4, 2024"
Department of transportation,Assistant General Counsel,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Apr 11, 2024"
Dept of health/mental hygiene,"Laboratory Associate, Bureau of Public Health Clinics","New York, NY",,,"Oct 29, 2024"
Dept of environment protection,Section Chief of Budget Planning and Management,"New York, NY",,On Site,"Aug 13, 2023"
Dept of environment protection,SCADA Support Specialist,"New York, NY",,On Site,"Feb 8, 2023"
Department of transportation,Staff Manager,"New York, NY",https://www.nyc.gov,On Site,"May 8, 2023"
Dept of environment protection,Permit Coordinator,"New York, NY",,,"Jan 22, 2024"
Department of transportation,BOB- Director of Construction,"New York, NY",https://www.nyc.gov,On Site,"Nov 22, 2024"
Hra/dept of social services,RENTAL ASSISTANCE UNIT (RAU) SUPERVISOR,"New York, NY",,,"Apr 19, 2024"
Housing preservation & dvlpmnt,"Senior Project Manager, Small Homes Stabilization","New York, NY",,,"Oct 30, 2024"
Department of transportation,Middle and High School Team Leader,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Jun 28, 2023"
Housing preservation & dvlpmnt,Engineering Auditor for the Engineering Audit Division,"New York, NY",,On Site,"Nov 15, 2024"
Dept of design & construction,CADD Technician,"New York, NY",,,"Jun 14, 2024"
Dept of design & construction,Project Manager,"New York, NY",,,"Jul 25, 2024"
Office of emergency management,PUBLIC WARNING SPECIALIST,"New York, NY",https://cityjobs.nyc.gov,On Site,"Nov 15, 2024"
Nyc housing authority,Plumber's Helper,"New York, NY",,,"Apr 11, 2022"
Dept of environment protection,Director of Operations,"New York, NY",https://www1.nyc.gov,On Site,"Nov 27, 2023"
Dept of citywide admin svcs,Tests and Measurement Specialist,"New York, NY",https://www.nyc.gov,,"Aug 12, 2024"
Dept of environment protection,APPLICATIONS DEVELOPMENT SPECIALIST,"New York, NY",,On Site,"Oct 6, 2023"
Department of transportation,Freight Planner,"New York, NY",https://www.nyc.gov,On Site,"Apr 10, 2024"
Dept of environment protection,Marine Engineer,"New York, NY",,On Site,"Sep 10, 2022"
Consumer and worker protection,Inspector - 688177,"New York, NY",https://studentaid.ed.gov,,"Nov 14, 2024"
Dept of health/mental hygiene,"Fieldwork Intern, Bureau of Public Health Clinics","New York, NY",,,"Oct 4, 2024"
Dept of environment protection,Motor Vehicle Operator,"New York, NY",,On Site,"Jun 10, 2024"
Dept of health/mental hygiene,"Drug-Checking Operations Lead, Bureau of Alcohol and Drug Use Prevention, Care, and Treatment (BADUPCT)","New York, NY",,,"Sep 27, 2024"
Dept of environment protection,Stormwater Inspector,"New York, NY",,,"May 16, 2023"
Dept of citywide admin svcs,"Senior Program Manager, Design Build","New York, NY",https://www.nyc.gov,,"Oct 23, 2024"
Office of management & budget,Analyst   OTI,"New York, NY",https://www.nyc.gov,On Site,"Jul 3, 2024"
Nyc housing authority,RESIDENT RELOCATION SERVICES COMMUNITY COORDINATOR,"New York, NY",,,"Oct 28, 2022"
Dept of health/mental hygiene,IT Project Manager,"New York, NY",,,"Aug 14, 2024"
Office of the comptroller,Litigation Attorney,"New York, NY",,,"Sep 25, 2024"
Hra/dept of social services,CA PERT SENIOR CASE REVIEWER,"New York, NY",,On Site,"Mar 8, 2024"
Dept of citywide admin svcs,College Aide,"New York, NY",https://www.nyc.gov,,"Sep 17, 2024"
Office of criminal justice,Deputy Director for Policy & Justice Operations,"New York, NY",,,"Sep 27, 2024"
Financial info svcs agency,Deputy Executive Director - Financial Systems,"New York, NY",,,"Oct 4, 2024"
Dept of health/mental hygiene,"Team Lead, Informatics and Evaluation, Bureau of Tuberculosis Control","New York, NY",,,"Sep 11, 2024"
Department of transportation,Data Analyst,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Jun 13, 2024"
Dept of health/mental hygiene,Help Desk Consultant,"New York, NY",,,"Oct 2, 2024"
Dept of environment protection,Brooklyn Borough Commissioner,"New York, NY",https://www1.nyc.gov,On Site,"Jul 25, 2024"
Dept of design & construction,Resident Engineer,"New York, NY",,,"Sep 27, 2024"
Dept of design & construction,Director (Front-End Planning),"New York, NY",https://www.nyc.gov,On Site,"Jul 11, 2023"
Nyc housing authority,Quality Assurance Inspector,"New York, NY",,,"Jul 30, 2024"
Dept of environment protection,Civil Engineering Intern,"New York, NY",,,"Oct 14, 2022"
Department of buildings,Sustainability Enforcement Attorney,"New York, NY",,,"Nov 7, 2024"
Dept of health/mental hygiene,"Reporting Analyst, Bureau of Controller/Fiscal Management","New York, NY",https://a127-jobs.nyc.gov,,"Apr 9, 2024"
Dept of health/mental hygiene,"Call Agent, Bureau of Customer Support","New York, NY",,,"Dec 29, 2023"
Hra/dept of social services,SENIOR PROGRAM INTEGRITY SPECIALIST,"New York, NY",,,"Jun 28, 2024"
Dept of citywide admin svcs,Maintenance Worker,"New York, NY",https://www.nyc.gov,,"Oct 22, 2024"
Off of payroll administration,Help Desk Level 1 Representative,"New York, NY",,,"Oct 9, 2024"
Dept of health/mental hygiene,"Associate Chemist II, Bureau of the Public Health Laboratory","New York, NY",https://a127-jobs.nyc.gov,,"May 21, 2024"
Dept of design & construction,Junior Project Manager,"New York, NY",,,"Mar 21, 2024"
Dept of environment protection,EHS Management Systems Specialist,"New York, NY",,On Site,"Jan 18, 2023"
District attorney richmond cou,Assistant District Attorney,"New York, NY",https://a127-jobs.nyc.gov,,"Oct 2, 2024"
Dept of design & construction,Senior Estimator,"New York, NY",,,"Apr 10, 2024"
Hra/dept of social services,SECTION MANAGER,"New York, NY",,,"Oct 25, 2024"
Admin for children's svcs,Adoption Certification Liaison,"New York, NY",,,"Nov 20, 2024"
Department of buildings,"Executive Engineer, Existing Buildings Compliance","New York, NY",,,"Nov 21, 2024"
Dept of health/mental hygiene,"Senior Director of Programs, Bureau of Children, Youth, Families & Developmental Disabilities","New York, NY",,,"Aug 6, 2024"
Department of transportation,Civil Engineer 3,"New York, NY",https://www.nyc.gov,On Site,"Dec 29, 2022"
Bronx district attorney,Certified IT Developer (Application),"New York, NY",,,"Jul 18, 2022"
Department of transportation,Summer Intern,"New York, NY",https://www.nyc.gov,On Site,"Apr 13, 2023"
Dept of youth & comm dev srvs,Administration Services Liaison,"New York, NY",https://www.nyc.gov,On Site,"Jun 12, 2024"
Off of payroll administration,W-2 Associate,"New York, NY",,,"Jul 23, 2024"
Department of city planning,Deputy Director of Planning Support,"New York, NY",,,"Nov 21, 2024"
